nik_kepala_keluarga,nama_kepala_keluarga,jumlah_anggota_keluarga,alamat,rt,rw,kelurahan,kecamatan,kabupaten_kota,provinsi,status_kepemilikan_rumah,jenis_lantai,jenis_dinding,jenis_atap,sumber_air_minum,sumber_penerangan,jenis_kloset,fasilitas_buang_tinja,luas_lantai,jumlah_kamar_tidur,akses_internet,akses_listrik,pendidikan_kepala_keluarga,pekerjaan_kepala_keluarga,status_perkawinan,jumlah_anak_balita,jumlah_anak_sekolah,pengeluaran_per_bulan,pendapatan_per_bulan,kepemilikan_lahan,kepemilikan_kendaraan,kepemilikan_tabungan,penerima_bansos,jenis_bansos,status_stunting,akses_fasilitas_kesehatan,riwayat_penyakit_kronis,disabilitas,tanggal_update,is_poor
3201000000000000,Agus Santoso,7,Jl. Contoh No.190,09,01,Pasar Baru,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,Sumur,PLN,Leher Angsa,SPAL,91,2,Tidak Ada,Ada,Diploma,Karyawan,Cerai Hidup,0,1,2027987,2807113,Tidak Ada,Tidak Ada,Tidak Ada,Ya,BPNT,Tidak,Mudah,Tidak Ada,Tidak,2025-02-12,0
3201000000000001,Andi Santoso,5,Jl. Contoh No.21,09,03,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Tembok,Seng,Sumur,PLN,Leher Angsa,SPAL,118,3,Ada,Ada,SD,PNS,Cerai Hidup,1,2,834114,864488,Ada,Tidak Ada,Tidak Ada,Ya,BLT,Ya,Tidak Ada,Hipertensi,Ya,2025-03-15,1
3201000000000002,Dewi Hidayat,8,Jl. Contoh No.197,01,02,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Tembok,Asbes,Sumur,PLN,Cemplung,SPAL,103,4,Tidak Ada,Tidak Ada,SMP,Pedagang,Belum Kawin,0,4,5540534,5868707,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BPNT,Ya,Tidak Ada,TBC,Ya,2025-01-28,0
3201000000000003,Tono Santoso,5,Jl. Contoh No.98,10,04,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Genteng,Air Kemasan,PLN,Cemplung,Lubang Tanah,34,3,Tidak Ada,Ada,Diploma,Petani,Cerai Hidup,2,1,3919058,5763398,Ada,Tidak Ada,Ada,Ya,BLT,Ya,Tidak Ada,Asma,Ya,2025-06-16,0
3201000000000004,Joko Wijaya,2,Jl. Contoh No.62,10,01,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Tembok,Genteng,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,90,2,Tidak Ada,Tidak Ada,SMP,Karyawan,Belum Kawin,2,2,3684433,3544903,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Mudah,Tidak Ada,Tidak,2025-01-19,1
3201000000000005,Budi Wijaya,2,Jl. Contoh No.9,06,01,Tanah Hitam,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Seng,PDAM,PLN,Leher Angsa,Lubang Tanah,51,4,Tidak Ada,Ada,SD,Petani,Cerai Mati,1,3,356082,560321,Tidak Ada,Tidak Ada,Ada,Ya,PKH,Tidak,Tidak Ada,Diabetes,Ya,2025-04-07,1
3201000000000006,Joko Saputra,3,Jl. Contoh No.20,08,05,Ngalau,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Tanah,Kayu,Seng,Sumur,PLN,Leher Angsa,SPAL,72,4,Tidak Ada,Ada,Diploma,Petani,Belum Kawin,1,0,1359083,1675934,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Mudah,Hipertensi,Tidak,2025-04-02,0
3201000000000007,Rina Wijaya,2,Jl. Contoh No.131,02,02,Ekor Lubuk,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Seng,Sumur,Non-PLN,Leher Angsa,SPAL,94,5,Ada,Ada,Diploma,Tidak Bekerja,Cerai Hidup,1,1,612280,979537,Tidak Ada,Ada,Tidak Ada,Tidak,BPNT,Tidak,Sulit,Diabetes,Ya,2025-01-15,1
3201000000000008,Joko Wijaya,4,Jl. Contoh No.18,04,03,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Tembok,Seng,Air Kemasan,Non-PLN,Leher Angsa,Lubang Tanah,104,1,Ada,Tidak Ada,SD,Petani,Belum Kawin,1,2,3539954,5010004,Ada,Tidak Ada,Ada,Tidak,Tidak Ada,Tidak,Mudah,Tidak Ada,Tidak,2025-05-02,0
3201000000000009,Joko Wijaya,7,Jl. Contoh No.114,09,04,Ekor Lubuk,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Genteng,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,94,5,Ada,Tidak Ada,SMP,Petani,Cerai Hidup,1,0,1467296,1597394,Tidak Ada,Ada,Ada,Ya,BLT,Tidak,Tidak Ada,Hipertensi,Ya,2025-03-26,0
3201000000000010,Ayu Saputra,8,Jl. Contoh No.172,04,03,Kampung Manggis,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Asbes,Sumur,Non-PLN,Leher Angsa,SPAL,78,3,Tidak Ada,Ada,SMP,Petani,Belum Kawin,1,2,488240,707923,Tidak Ada,Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Mudah,Tidak Ada,Tidak,2025-03-19,1
3201000000000011,Ayu Hidayat,5,Jl. Contoh No.156,09,01,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Semen,Bambu,Asbes,Sumur,Non-PLN,Leher Angsa,SPAL,66,4,Ada,Tidak Ada,Sarjana,Pedagang,Kawin,2,2,1265995,1409346,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BLT,Ya,Mudah,TBC,Tidak,2025-03-20,1
3201000000000012,Joko Hidayat,3,Jl. Contoh No.111,10,05,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Asbes,PDAM,PLN,Cemplung,SPAL,104,1,Tidak Ada,Tidak Ada,SD,Buruh,Cerai Hidup,0,1,5182368,5096430,Ada,Ada,Ada,Ya,Tidak Ada,Ya,Sulit,TBC,Ya,2025-07-16,1
3201000000000013,Budi Santoso,8,Jl. Contoh No.109,04,02,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Tembok,Genteng,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,37,4,Tidak Ada,Tidak Ada,Sarjana,Tidak Bekerja,Cerai Mati,2,3,1612838,1737918,Ada,Tidak Ada,Tidak Ada,Tidak,BPNT,Tidak,Tidak Ada,TBC,Ya,2025-05-15,0
3201000000000014,Ayu Santoso,3,Jl. Contoh No.39,04,04,Pasar Usang,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Kayu,Genteng,Sumur,Non-PLN,Cemplung,Lubang Tanah,89,4,Tidak Ada,Ada,SMP,PNS,Cerai Mati,2,0,1815415,2467074,Tidak Ada,Tidak Ada,Ada,Tidak,BLT,Tidak,Sulit,Asma,Ya,2025-08-08,0
3201000000000015,Ayu Saputra,7,Jl. Contoh No.43,08,02,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Bambu,Asbes,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,37,4,Ada,Ada,SMA,PNS,Cerai Hidup,0,3,2810693,4573860,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Mudah,TBC,Ya,2025-09-02,0
3201000000000016,Budi Santoso,3,Jl. Contoh No.52,01,05,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Tanah,Bambu,Asbes,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,109,3,Tidak Ada,Ada,Sarjana,Karyawan,Kawin,0,2,3776551,5953803,Ada,Ada,Tidak Ada,Tidak,Tidak Ada,Ya,Mudah,Asma,Ya,2025-02-23,0
3201000000000017,Ayu Saputra,7,Jl. Contoh No.95,02,05,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Asbes,PDAM,PLN,Cemplung,Lubang Tanah,101,4,Ada,Tidak Ada,SMP,Tidak Bekerja,Cerai Hidup,2,4,5201826,5247386,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BLT,Ya,Mudah,Diabetes,Tidak,2025-04-25,0
3201000000000018,Ayu Wijaya,5,Jl. Contoh No.55,06,03,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Kayu,Seng,PDAM,PLN,Leher Angsa,SPAL,50,4,Tidak Ada,Ada,Diploma,Tidak Bekerja,Cerai Mati,1,0,2040808,3321899,Ada,Tidak Ada,Ada,Tidak,BPNT,Tidak,Tidak Ada,Asma,Tidak,2025-08-18,0
3201000000000019,Rina Hidayat,4,Jl. Contoh No.65,04,01,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Genteng,Air Kemasan,PLN,Leher Angsa,SPAL,114,4,Tidak Ada,Tidak Ada,SD,Buruh,Cerai Hidup,0,2,3916524,5116993,Ada,Tidak Ada,Ada,Ya,BLT,Ya,Mudah,Asma,Tidak,2025-03-21,0
3201000000000020,Rina Saputra,5,Jl. Contoh No.88,03,01,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Bambu,Genteng,PDAM,Non-PLN,Leher Angsa,SPAL,39,2,Tidak Ada,Ada,SMP,Petani,Cerai Mati,2,4,534781,602889,Ada,Tidak Ada,Tidak Ada,Tidak,BLT,Tidak,Sulit,Asma,Ya,2025-02-25,1
