nik_kepala_keluarga,nama_kepala_keluarga,jumlah_anggota_keluarga,alamat,rt,rw,kelurahan,kecamatan,kabupaten_kota,provinsi,status_kepemilikan_rumah,jenis_lantai,jenis_dinding,jenis_atap,sumber_air_minum,sumber_penerangan,jenis_kloset,fasilitas_buang_tinja,luas_lantai,jumlah_kamar_tidur,akses_internet,akses_listrik,pendidikan_kepala_keluarga,pekerjaan_kepala_keluarga,status_perkawinan,jumlah_anak_balita,jumlah_anak_sekolah,pengeluaran_per_bulan,pendapatan_per_bulan,kepemilikan_lahan,kepemilikan_kendaraan,kepemilikan_tabungan,penerima_bansos,jenis_bansos,status_stunting,akses_fasilitas_kesehatan,riwayat_penyakit_kronis,disabilitas,tanggal_update,is_poor,rasio_pengeluaran_pendapatan,kepadatan_rumah,risk_score,stunting_risk_score,cluster,socio_segment,socio_segment_label,anomaly,anomaly_label
3201000000000000,Agus Santoso,7,Jl. Contoh No.190,9,1,Pasar Baru,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,Sumur,PLN,Leher Angsa,SPAL,91,2,Tidak Ada,Ada,DIPLOMA,Karyawan,Cerai Hidup,0,1,2027987,2807113,Tidak Ada,Tidak Ada,Tidak Ada,Ya,BPNT,Tidak,Mudah,Tidak Ada,Tidak,2025-02-12,0,0.7224458010774771,0.0769230769230769,0.4539365904109473,0.4539365904109473,0,2,Rentan,1,Normal
3201000000000001,Andi Santoso,5,Jl. Contoh No.21,9,3,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Tembok,Seng,Sumur,PLN,Leher Angsa,SPAL,118,3,Ada,Ada,SD,PNS,Cerai Hidup,1,2,834114,864488,Ada,Tidak Ada,Tidak Ada,Ya,BLT,Ya,Tidak Ada,Hipertensi,Ya,2025-03-15,1,0.9648647523158216,0.0423728813559322,0.527468716820004,0.527468716820004,0,2,Rentan,1,Normal
3201000000000002,Dewi Hidayat,8,Jl. Contoh No.197,1,2,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Tembok,Asbes,Sumur,PLN,Cemplung,SPAL,103,4,Tidak Ada,Tidak Ada,SMP,Pedagang,Belum Kawin,0,4,5540534,5868707,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BPNT,Ya,Tidak Ada,TBC,Ya,2025-01-28,0,0.9440808682389494,0.0776699029126213,0.4367351416963794,0.4367351416963794,0,0,Mampu,-1,Anomali
3201000000000003,Tono Santoso,5,Jl. Contoh No.98,10,4,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Genteng,Air Kemasan,PLN,Cemplung,Lubang Tanah,34,3,Tidak Ada,Ada,DIPLOMA,Petani,Cerai Hidup,2,1,3919058,5763398,Ada,Tidak Ada,Ada,Ya,BLT,Ya,Tidak Ada,Asma,Ya,2025-06-16,0,0.6799908664992423,0.1470588235294117,0.499655375538928,0.499655375538928,1,0,Mampu,1,Normal
3201000000000004,Joko Wijaya,2,Jl. Contoh No.62,10,1,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Tembok,Genteng,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,90,2,Tidak Ada,Tidak Ada,SMP,Karyawan,Belum Kawin,2,2,3684433,3544903,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Mudah,Tidak Ada,Tidak,2025-01-19,1,1.0393607385025767,0.0222222222222222,0.4461639172782025,0.4461639172782025,1,0,Mampu,1,Normal
3201000000000005,Budi Wijaya,2,Jl. Contoh No.9,6,1,Tanah Hitam,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Seng,PDAM,PLN,Leher Angsa,Lubang Tanah,51,4,Tidak Ada,Ada,SD,Petani,Cerai Mati,1,3,356082,560321,Tidak Ada,Tidak Ada,Ada,Ya,PKH,Tidak,Tidak Ada,Diabetes,Ya,2025-04-07,1,0.6354964386485604,0.0392156862745098,0.4420436292400024,0.4420436292400024,1,2,Rentan,-1,Anomali
3201000000000006,Joko Saputra,3,Jl. Contoh No.20,8,5,Ngalau,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Tanah,Kayu,Seng,Sumur,PLN,Leher Angsa,SPAL,72,4,Tidak Ada,Ada,DIPLOMA,Petani,Belum Kawin,1,0,1359083,1675934,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Mudah,Hipertensi,Tidak,2025-04-02,0,0.8109406456340166,0.0416666666666666,0.420091692835116,0.420091692835116,2,2,Rentan,1,Normal
3201000000000007,Rina Wijaya,2,Jl. Contoh No.131,2,2,Ekor Lubuk,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Seng,Sumur,Non-PLN,Leher Angsa,SPAL,94,5,Ada,Ada,DIPLOMA,Tidak Bekerja,Cerai Hidup,1,1,612280,979537,Tidak Ada,Ada,Tidak Ada,Tidak,BPNT,Tidak,Sulit,Diabetes,Ya,2025-01-15,1,0.625070824277184,0.0212765957446808,0.4259756000119977,0.4259756000119977,2,1,Menengah,1,Normal
3201000000000008,Joko Wijaya,4,Jl. Contoh No.18,4,3,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Tembok,Seng,Air Kemasan,Non-PLN,Leher Angsa,Lubang Tanah,104,1,Ada,Tidak Ada,SD,Petani,Belum Kawin,1,2,3539954,5010004,Ada,Tidak Ada,Ada,Tidak,Tidak Ada,Tidak,Mudah,Tidak Ada,Tidak,2025-05-02,0,0.7065770805771812,0.0384615384615384,0.3957255149755603,0.3957255149755603,1,0,Mampu,1,Normal
3201000000000009,Joko Wijaya,7,Jl. Contoh No.114,9,4,Ekor Lubuk,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Genteng,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,94,5,Ada,Tidak Ada,SMP,Petani,Cerai Hidup,1,0,1467296,1597394,Tidak Ada,Ada,Ada,Ya,BLT,Tidak,Tidak Ada,Hipertensi,Ya,2025-03-26,0,0.9185560982450166,0.0744680851063829,0.4198561701552271,0.4198561701552271,1,1,Menengah,1,Normal
